SiteID,HBIAPV.158p,HBIAPV.158n,HBIAPV.158Prop,HBDWV.269p,HBDWV.269n,HBDWV.269Prop,HBSBV.342p,HBSBV.342n,HBSBV.342Prop,HBABPV.460p,HBABPV.460n,HBABPV.460Prop,HBBQCV.536p,HBBQCV.536n,HBBQCV.536Prop,HBCBPV.774p,HBCBPV.774n,HBCBPV.774Prop,IAPV.158p,IAPV.158n,IAPV.158Prop,DWV.269p,DWV.269n,DWV.269Prop,SBV.342p,SBV.342n,SBV.342Prop,ABPV.460p,ABPV.460n,ABPV.460Prop,BQCV.536p,BQCV.536n,BQCV.536Prop,CBPV.774p,CBPV.774n,CBPV.774Prop,Urban,Commercial,Forest
90,0,3,0,0,3,0,1,2,0.333333333333333,0,3,0,1,2,0.333333333333333,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1,0,0
91,0,3,0,3,0,1,1,2,0.333333333333333,0,3,0,0,3,0,2,1,0.666666666666667,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1,9,0.1,1,0,0
92,0,3,0,0,3,0,0,3,0,0,3,0,3,0,1,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,1,9,0.1,0,10,0,0,0,0
93,0,3,0,1,2,0.333333333333333,3,0,1,0,3,0,3,0,1,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,1,9,0.1,0,10,0,0,0,0
94,0,3,0,0,3,0,0,3,0,1,2,0.333333333333333,3,0,1,0,3,0,0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,1,0,0
95,1,2,0.333333333333333,1,2,0.333333333333333,0,3,0,0,3,0,1,2,0.333333333333333,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
96,0,3,0,1,2,0.333333333333333,2,1,0.666666666666667,0,3,0,1,2,0.333333333333333,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,0,0
97,0,3,0,1,2,0.333333333333333,0,3,0,0,3,0,1,2,0.333333333333333,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,3,7,0.3,0,10,0,0,1,0
98,0,3,0,0,3,0,0,3,0,0,3,0,3,0,1,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,1,0
99,0,3,0,0,3,0,3,0,1,0,3,0,3,0,1,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
100,0,3,0,2,1,0.666666666666667,0,3,0,0,3,0,0,3,0,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1,0,0
101,0,3,0,3,0,1,0,3,0,0,3,0,0,3,0,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,0,0
